#frame chA chB nCorr nA nB MNR GNR DICE
2 0 1 0 26 185 0 0 0
2 0 2 0 26 51 0 0 0
2 0 3 0 26 136 0 0 0
2 0 4 0 26 150 0 0 0
2 0 5 0 26 40 0 0 0
2 1 2 0 185 51 0 0 0
2 1 3 0 185 136 0 0 0
2 1 4 0 185 150 0 0 0
2 1 5 0 185 40 0 0 0
2 2 3 0 51 136 0 0 0
2 2 4 0 51 150 0 0 0
2 2 5 0 51 40 0 0 0
2 3 4 0 136 150 0 0 0
2 3 5 0 136 40 0 0 0
2 4 5 0 150 40 0 0 0
3 0 1 0 44 163 0 0 0
3 0 2 0 44 49 0 0 0
3 0 3 0 44 138 0 0 0
3 0 4 0 44 120 0 0 0
3 0 5 0 44 71 0 0 0
3 1 2 0 163 49 0 0 0
3 1 3 0 163 138 0 0 0
3 1 4 0 163 120 0 0 0
3 1 5 0 163 71 0 0 0
3 2 3 0 49 138 0 0 0
3 2 4 0 49 120 0 0 0
3 2 5 0 49 71 0 0 0
3 3 4 0 138 120 0 0 0
3 3 5 0 138 71 0 0 0
3 4 5 0 120 71 0 0 0
4 0 1 0 25 136 0 0 0
4 0 2 0 25 36 0 0 0
4 0 3 0 25 115 0 0 0
4 0 4 0 25 86 0 0 0
4 0 5 0 25 44 0 0 0
4 1 2 0 136 36 0 0 0
4 1 3 0 136 115 0 0 0
4 1 4 0 136 86 0 0 0
4 1 5 0 136 44 0 0 0
4 2 3 0 36 115 0 0 0
4 2 4 0 36 86 0 0 0
4 2 5 0 36 44 0 0 0
4 3 4 0 115 86 0 0 0
4 3 5 0 115 44 0 0 0
4 4 5 0 86 44 0 0 0
5 0 1 0 45 128 0 0 0
5 0 2 0 45 49 0 0 0
5 0 3 0 45 128 0 0 0
5 0 4 0 45 83 0 0 0
5 0 5 0 45 84 0 0 0
5 1 2 0 128 49 0 0 0
5 1 3 0 128 128 0 0 0
5 1 4 0 128 83 0 0 0
5 1 5 0 128 84 0 0 0
5 2 3 0 49 128 0 0 0
5 2 4 0 49 83 0 0 0
5 2 5 0 49 84 0 0 0
5 3 4 0 128 83 0 0 0
5 3 5 0 128 84 0 0 0
5 4 5 0 83 84 0 0 0
6 0 1 0 36 106 0 0 0
6 0 2 0 36 32 0 0 0
6 0 3 0 36 115 0 0 0
6 0 4 0 36 66 0 0 0
6 0 5 0 36 72 0 0 0
6 1 2 1 106 32 0.03125 0.0171701 0.0144928
6 1 3 28 106 115 0.264151 0.253604 0.253394
6 1 4 5 106 66 0.0757576 0.0597785 0.0581395
6 1 5 0 106 72 0 0 0
6 2 3 0 32 115 0 0 0
6 2 4 1 32 66 0.03125 0.0217597 0.0204082
6 2 5 0 32 72 0 0 0
6 3 4 4 115 66 0.0606061 0.0459134 0.0441989
6 3 5 0 115 72 0 0 0
6 4 5 0 66 72 0 0 0
7 0 1 0 45 104 0 0 0
7 0 2 1 45 44 0.0227273 0.0224733 0.0224719
7 0 3 0 45 118 0 0 0
7 0 4 0 45 87 0 0 0
7 0 5 0 45 95 0 0 0
7 1 2 1 104 44 0.0227273 0.0147828 0.0135135
7 1 3 29 104 118 0.278846 0.261782 0.261261
7 1 4 9 104 87 0.103448 0.0946164 0.0942408
7 1 5 0 104 95 0 0 0
7 2 3 3 44 118 0.0681818 0.0416346 0.037037
7 2 4 1 44 87 0.0227273 0.0161627 0.0152672
7 2 5 0 44 95 0 0 0
7 3 4 9 118 87 0.103448 0.0888264 0.0878049
7 3 5 0 118 95 0 0 0
7 4 5 0 87 95 0 0 0
8 0 1 0 40 88 0 0 0
8 0 2 2 40 33 0.0606061 0.0550482 0.0547945
8 0 3 0 40 98 0 0 0
8 0 4 0 40 76 0 0 0
8 0 5 0 40 70 0 0 0
8 1 2 0 88 33 0 0 0
8 1 3 30 88 98 0.340909 0.323048 0.322581
8 1 4 9 88 76 0.118421 0.110051 0.109756
8 1 5 0 88 70 0 0 0
8 2 3 3 33 98 0.0909091 0.0527535 0.0458015
8 2 4 2 33 76 0.0606061 0.0399362 0.0366972
8 2 5 0 33 70 0 0 0
8 3 4 10 98 76 0.131579 0.115872 0.114943
8 3 5 0 98 70 0 0 0
8 4 5 0 76 70 0 0 0
9 0 1 1 51 94 0.0196078 0.0144428 0.0137931
9 0 2 0 51 35 0 0 0
9 0 3 1 51 118 0.0196078 0.0128906 0.0118343
9 0 4 0 51 96 0 0 0
9 0 5 0 51 87 0 0 0
9 1 2 1 94 35 0.0285714 0.0174342 0.0155039
9 1 3 26 94 118 0.276596 0.24687 0.245283
9 1 4 7 94 96 0.0744681 0.0736883 0.0736842
9 1 5 0 94 87 0 0 0
9 2 3 0 35 118 0 0 0
9 2 4 1 35 96 0.0285714 0.0172516 0.0152672
9 2 5 0 35 87 0 0 0
9 3 4 8 118 96 0.0833333 0.0751646 0.0747664
9 3 5 0 118 87 0 0 0
9 4 5 0 96 87 0 0 0
10 0 1 1 38 82 0.0263158 0.0179144 0.0166667
10 0 2 0 38 35 0 0 0
10 0 3 1 38 102 0.0263158 0.0160623 0.0142857
10 0 4 0 38 75 0 0 0
10 0 5 0 38 68 0 0 0
10 1 2 0 82 35 0 0 0
10 1 3 23 82 102 0.280488 0.25149 0.25
10 1 4 7 82 75 0.0933333 0.0892607 0.089172
10 1 5 0 82 68 0 0 0
10 2 3 1 35 102 0.0285714 0.0167365 0.0145985
10 2 4 3 35 75 0.0857143 0.058554 0.0545455
10 2 5 0 35 68 0 0 0
10 3 4 10 102 75 0.133333 0.114332 0.112994
10 3 5 0 102 68 0 0 0
10 4 5 0 75 68 0 0 0
11 0 1 1 53 91 0.0188679 0.0143993 0.0138889
11 0 2 0 53 41 0 0 0
11 0 3 1 53 114 0.0188679 0.012865 0.011976
11 0 4 0 53 84 0 0 0
11 0 5 0 53 108 0 0 0
11 1 2 1 91 41 0.0243902 0.0163715 0.0151515
11 1 3 19 91 114 0.208791 0.186544 0.185366
11 1 4 8 91 84 0.0952381 0.0915018 0.0914286
11 1 5 0 91 108 0 0 0
11 2 3 2 41 114 0.0487805 0.029254 0.0258065
11 2 4 3 41 84 0.0731707 0.0511199 0.048
11 2 5 0 41 108 0 0 0
11 3 4 8 114 84 0.0952381 0.0817519 0.0808081
11 3 5 2 114 108 0.0185185 0.0180246 0.018018
11 4 5 0 84 108 0 0 0
